V1,ID,Task,Q1Gender,Age,Distance,Trips,Q13CurrentThreatToSelf,Q14FutureThreatToSelf,Q15ThreatToEnvironment,BP,Charity,Consequentiality,Experts,Education,Employment,Survey,Price_B,Performance_B,Emission_B,Performance_A,Emission_A,Price_A,Choice,Income,Order,Task.1,Consequentiality.1,Experts.1,Q6ResearchResponse,Q6Bid,Q7Bid,Q7Bid2,Q7TreatmentResponse,Q7Response2,Timing,Q12CECertainty,Q6ResearchCertainty,Q7TreatmentCertainty,IncomeDummy,av_A,av_B,Bid_Alt,ExpertsDummy,ExpertsGroup,Weights,Q5Knowledge,Order.1
11,3,3,0,63,1,3,3,2,3,0,0,0,2,2,2,8,1,5,10,0,0,0,1,3500,1,3,0,2,1,60,5,2,1,1,282,1,1,1,1,1,1,0,0,0,1.11663946212938,3,1
12,3,4,0,63,1,3,3,2,3,0,0,0,2,2,2,8,2.5,50,10,0,0,0,1,3500,1,4,0,2,1,60,5,2,1,1,282,1,1,1,1,1,1,0,0,0,1.11663946212938,3,1
13,4,1,0,32.5,6.5,2,5,5,5,1,0,2,3,3,4,6,2.5,10,10,0,0,0,2,1750,0,1,2,3,2,60,50,100,2,1,131,2,2,2,0,1,1,0,0,1,0.709543170313124,2,0
14,4,2,0,32.5,6.5,2,5,5,5,1,0,2,3,3,4,6,0.5,10,10,0,0,0,2,1750,0,2,2,3,2,60,50,100,2,1,131,2,2,2,0,1,1,0,0,1,0.709543170313124,2,0
15,4,3,0,32.5,6.5,2,5,5,5,1,0,2,3,3,4,6,5,10,90,0,0,0,1,1750,0,3,2,3,2,60,50,100,2,1,131,2,2,2,0,1,1,0,0,1,0.709543170313124,2,0
16,4,4,0,32.5,6.5,2,5,5,5,1,0,2,3,3,4,6,0.5,50,10,0,0,0,2,1750,0,4,2,3,2,60,50,100,2,1,131,2,2,2,0,1,1,0,0,1,0.709543170313124,2,0
17,5,1,1,47.5,1,3,3,5,5,0,0,2,4,1,6,10,1,50,90,0,0,0,2,1250,0,1,2,4,2,30,40,80,2,0,601,2,1,1,0,1,1,0,1,2,1.04811204885544,5,0
18,5,2,1,47.5,1,3,3,5,5,0,0,2,4,1,6,10,2.5,5,40,0,0,0,1,1250,0,2,2,4,2,30,40,80,2,0,601,2,1,1,0,1,1,0,1,2,1.04811204885544,5,0
19,5,3,1,47.5,1,3,3,5,5,0,0,2,4,1,6,10,1,5,10,0,0,0,2,1250,0,3,2,4,2,30,40,80,2,0,601,2,1,1,0,1,1,0,1,2,1.04811204885544,5,0
20,5,4,1,47.5,1,3,3,5,5,0,0,2,4,1,6,10,0.5,50,10,0,0,0,2,1250,0,4,2,4,2,30,40,80,2,0,601,2,1,1,0,1,1,0,1,2,1.04811204885544,5,0
21,6,1,0,21.5,6.5,3,3,3,3,1,0,2,3,2,4,10,2.5,10,10,0,0,0,2,750,0,1,2,3,1,50,10,20,2,1,277,1,1,1,0,1,1,0,0,1,1.3202905638322,4,0
22,6,2,0,21.5,6.5,3,3,3,3,1,0,2,3,2,4,10,0.5,5,40,0,0,0,2,750,0,2,2,3,1,50,10,20,2,1,277,1,1,1,0,1,1,0,0,1,1.3202905638322,4,0
23,6,3,0,21.5,6.5,3,3,3,3,1,0,2,3,2,4,10,2.5,5,90,0,0,0,2,750,0,3,2,3,1,50,10,20,2,1,277,1,1,1,0,1,1,0,0,1,1.3202905638322,4,0
24,6,4,0,21.5,6.5,3,3,3,3,1,0,2,3,2,4,10,0.5,50,10,0,0,0,2,750,0,4,2,3,1,50,10,20,2,1,277,1,1,1,0,1,1,0,0,1,1.3202905638322,4,0
25,7,1,1,63,50,1,2,2,4,1,0,0,3,1,6,10,2.5,10,10,0,0,0,1,2250,0,1,0,3,1,40,60,30,1,0,336,2,2,2,1,1,1,0,0,1,1.13574879528113,3,0
26,7,2,1,63,50,1,2,2,4,1,0,0,3,1,6,10,2.5,5,40,0,0,0,1,2250,0,2,0,3,1,40,60,30,1,0,336,2,2,2,1,1,1,0,0,1,1.13574879528113,3,0
27,7,3,1,63,50,1,2,2,4,1,0,0,3,1,6,10,2.5,5,90,0,0,0,2,2250,0,3,0,3,1,40,60,30,1,0,336,2,2,2,1,1,1,0,0,1,1.13574879528113,3,0
28,7,4,1,63,50,1,2,2,4,1,0,0,3,1,6,10,2.5,50,10,0,0,0,1,2250,0,4,0,3,1,40,60,30,1,0,336,2,2,2,1,1,1,0,0,1,1.13574879528113,3,0
29,8,1,1,32.5,50,2,3,4,5,1,1,2,4,4,6,10,5,50,40,0,0,0,2,2250,0,1,2,4,2,10,20,40,2,1,595,2,2,2,1,1,1,0,1,2,0.990186472172268,3,0
30,8,2,1,32.5,50,2,3,4,5,1,1,2,4,4,6,10,0.5,10,10,0,0,0,2,2250,0,2,2,4,2,10,20,40,2,1,595,2,2,2,1,1,1,0,1,2,0.990186472172268,3,0
31,8,3,1,32.5,50,2,3,4,5,1,1,2,4,4,6,10,1,5,10,0,0,0,2,2250,0,3,2,4,2,10,20,40,2,1,595,2,2,2,1,1,1,0,1,2,0.990186472172268,3,0
32,8,4,1,32.5,50,2,3,4,5,1,1,2,4,4,6,10,1,10,40,0,0,0,2,2250,0,4,2,4,2,10,20,40,2,1,595,2,2,2,1,1,1,0,1,2,0.990186472172268,3,0
33,9,1,0,63,6.5,1,4,5,5,1,0,2,4,2,2,9,5,5,10,0,0,0,2,4500,0,1,2,4,2,30,30,60,2,0,502,2,1,1,1,1,1,0,1,2,1.14808911113219,3,0
34,9,2,0,63,6.5,1,4,5,5,1,0,2,4,2,2,9,0.5,5,40,0,0,0,2,4500,0,2,2,4,2,30,30,60,2,0,502,2,1,1,1,1,1,0,1,2,1.14808911113219,3,0
35,9,3,0,63,6.5,1,4,5,5,1,0,2,4,2,2,9,5,10,90,0,0,0,2,4500,0,3,2,4,2,30,30,60,2,0,502,2,1,1,1,1,1,0,1,2,1.14808911113219,3,0
36,9,4,0,63,6.5,1,4,5,5,1,0,2,4,2,2,9,0.5,50,10,0,0,0,1,4500,0,4,2,4,2,30,30,60,2,0,502,2,1,1,1,1,1,0,1,2,1.14808911113219,3,0
37,10,1,1,63,6.5,3,3,3,5,0,0,1,3,1,2,10,1,50,90,0,0,0,2,1750,0,1,1,3,1,20,70,140,2,0,794,2,1,2,0,1,1,0,0,1,0.675350163593305,2,0
38,10,2,1,63,6.5,3,3,3,5,0,0,1,3,1,2,10,2.5,5,40,0,0,0,2,1750,0,2,1,3,1,20,70,140,2,0,794,2,1,2,0,1,1,0,0,1,0.675350163593305,2,0
39,10,3,1,63,6.5,3,3,3,5,0,0,1,3,1,2,10,2.5,5,90,0,0,0,2,1750,0,3,1,3,1,20,70,140,2,0,794,2,1,2,0,1,1,0,0,1,0.675350163593305,2,0
40,10,4,1,63,6.5,3,3,3,5,0,0,1,3,1,2,10,1,10,40,0,0,0,2,1750,0,4,1,3,1,20,70,140,2,0,794,2,1,2,0,1,1,0,0,1,0.675350163593305,2,0
41,11,1,1,47.5,50,0,3,4,5,2,2,2,5,3,6,10,5,5,10,0,0,0,1,2250,0,1,2,5,2,5,30,60,2,1,484,2,2,2,1,1,1,0,1,2,0.408028131693868,4,0
42,11,2,1,47.5,50,0,3,4,5,2,2,2,5,3,6,10,0.5,10,10,0,0,0,1,2250,0,2,2,5,2,5,30,60,2,1,484,2,2,2,1,1,1,0,1,2,0.408028131693868,4,0
43,11,3,1,47.5,50,0,3,4,5,2,2,2,5,3,6,10,5,10,90,0,0,0,2,2250,0,3,2,5,2,5,30,60,2,1,484,2,2,2,1,1,1,0,1,2,0.408028131693868,4,0
44,11,4,1,47.5,50,0,3,4,5,2,2,2,5,3,6,10,0.5,50,10,0,0,0,1,2250,0,4,2,5,2,5,30,60,2,1,484,2,2,2,1,1,1,0,1,2,0.408028131693868,4,0
45,12,1,0,32.5,15.5,3,2,3,3,0,0,2,3,3,6,10,5,5,10,0,0,0,1,1750,0,1,2,3,2,30,20,40,2,1,416,1,1,2,0,1,1,0,0,1,0.496520967820724,2,0
46,12,2,0,32.5,15.5,3,2,3,3,0,0,2,3,3,6,10,0.5,5,40,0,0,0,2,1750,0,2,2,3,2,30,20,40,2,1,416,1,1,2,0,1,1,0,0,1,0.496520967820724,2,0
47,12,3,0,32.5,15.5,3,2,3,3,0,0,2,3,3,6,10,2.5,5,90,0,0,0,2,1750,0,3,2,3,2,30,20,40,2,1,416,1,1,2,0,1,1,0,0,1,0.496520967820724,2,0
48,12,4,0,32.5,15.5,3,2,3,3,0,0,2,3,3,6,10,5,5,10,0,0,0,1,1750,0,4,2,3,2,30,20,40,2,1,416,1,1,2,0,1,1,0,0,1,0.496520967820724,2,0
49,13,1,0,47.5,6.5,3,3,3,4,1,1,0,3,4,6,10,5,5,10,0,0,0,1,1750,1,1,0,3,1,60,40,20,1,0,459,2,2,2,0,1,1,0,0,1,0.897281818552911,2,1
50,13,2,0,47.5,6.5,3,3,3,4,1,1,0,3,4,6,10,0.5,5,40,0,0,0,2,1750,1,2,0,3,1,60,40,20,1,0,459,2,2,2,0,1,1,0,0,1,0.897281818552911,2,1
51,13,3,0,47.5,6.5,3,3,3,4,1,1,0,3,4,6,10,1,5,10,0,0,0,1,1750,1,3,0,3,1,60,40,20,1,0,459,2,2,2,0,1,1,0,0,1,0.897281818552911,2,1
52,13,4,0,47.5,6.5,3,3,3,4,1,1,0,3,4,6,10,2.5,50,10,0,0,0,1,1750,1,4,0,3,1,60,40,20,1,0,459,2,2,2,0,1,1,0,0,1,0.897281818552911,2,1
53,14,1,0,21.5,15.5,1,5,3,2,0,2,2,5,3,4,10,5,5,10,0,0,0,2,750,1,1,2,5,2,30,40,20,1,0,164,2,1,0,0,1,1,0,1,2,1.97455559880385,3,1
54,14,2,0,21.5,15.5,1,5,3,2,0,2,2,5,3,4,10,0.5,5,40,0,0,0,2,750,1,2,2,5,2,30,40,20,1,0,164,2,1,0,0,1,1,0,1,2,1.97455559880385,3,1
55,14,3,0,21.5,15.5,1,5,3,2,0,2,2,5,3,4,10,5,10,90,0,0,0,2,750,1,3,2,5,2,30,40,20,1,0,164,2,1,0,0,1,1,0,1,2,1.97455559880385,3,1
56,14,4,0,21.5,15.5,1,5,3,2,0,2,2,5,3,4,10,0.5,50,10,0,0,0,1,750,1,4,2,5,2,30,40,20,1,0,164,2,1,0,0,1,1,0,1,2,1.97455559880385,3,1
57,15,1,1,47.5,50,2,3,3,3,1,1,2,2,4,6,5,1,50,90,0,0,0,1,2250,1,1,2,2,2,5,40,80,2,1,156,2,2,2,1,1,1,0,0,0,1.99895350582115,3,1
58,15,2,1,47.5,50,2,3,3,3,1,1,2,2,4,6,5,0.5,5,40,0,0,0,1,2250,1,2,2,2,2,5,40,80,2,1,156,2,2,2,1,1,1,0,0,0,1.99895350582115,3,1
59,15,3,1,47.5,50,2,3,3,3,1,1,2,2,4,6,5,1,5,10,0,0,0,1,2250,1,3,2,2,2,5,40,80,2,1,156,2,2,2,1,1,1,0,0,0,1.99895350582115,3,1
60,15,4,1,47.5,50,2,3,3,3,1,1,2,2,4,6,5,1,10,40,0,0,0,2,2250,1,4,2,2,2,5,40,80,2,1,156,2,2,2,1,1,1,0,0,0,1.99895350582115,3,1
61,16,1,1,47.5,15.5,2,4,4,3,1,0,2,4,4,6,9,1,50,90,0,0,0,1,5000,1,1,2,4,1,50,40,20,1,1,204,2,1,2,1,1,1,0,1,2,0.880038492773335,4,1
62,16,2,1,47.5,15.5,2,4,4,3,1,0,2,4,4,6,9,0.5,5,40,0,0,0,1,5000,1,2,2,4,1,50,40,20,1,1,204,2,1,2,1,1,1,0,1,2,0.880038492773335,4,1
63,16,3,1,47.5,15.5,2,4,4,3,1,0,2,4,4,6,9,0.5,5,90,0,0,0,1,5000,1,3,2,4,1,50,40,20,1,1,204,2,1,2,1,1,1,0,1,2,0.880038492773335,4,1
64,16,4,1,47.5,15.5,2,4,4,3,1,0,2,4,4,6,9,2.5,50,10,0,0,0,1,5000,1,4,2,4,1,50,40,20,1,1,204,2,1,2,1,1,1,0,1,2,0.880038492773335,4,1
65,17,1,0,32.5,35,2,5,5,4,0,0,0,5,2,6,10,2.5,10,10,0,0,0,2,2250,1,1,0,5,2,10,30,15,1,0,667,2,1,2,1,1,1,0,1,2,0.99270425322631,3,1
66,17,2,0,32.5,35,2,5,5,4,0,0,0,5,2,6,10,2.5,5,10,0,0,0,2,2250,1,2,0,5,2,10,30,15,1,0,667,2,1,2,1,1,1,0,1,2,0.99270425322631,3,1
67,17,3,0,32.5,35,2,5,5,4,0,0,0,5,2,6,10,5,10,90,0,0,0,2,2250,1,3,0,5,2,10,30,15,1,0,667,2,1,2,1,1,1,0,1,2,0.99270425322631,3,1
68,17,4,0,32.5,35,2,5,5,4,0,0,0,5,2,6,10,5,5,10,0,0,0,2,2250,1,4,0,5,2,10,30,15,1,0,667,2,1,2,1,1,1,0,1,2,0.99270425322631,3,1
69,18,1,0,47.5,1,3,5,5,5,2,0,2,5,2,4,10,1,50,90,0,0,0,2,750,1,1,2,5,1,5,40,20,1,0,660,2,2,2,0,1,1,0,1,2,1.60586722438197,1,1
70,18,2,0,47.5,1,3,5,5,5,2,0,2,5,2,4,10,2.5,5,40,0,0,0,2,750,1,2,2,5,1,5,40,20,1,0,660,2,2,2,0,1,1,0,1,2,1.60586722438197,1,1
71,18,3,0,47.5,1,3,5,5,5,2,0,2,5,2,4,10,1,5,10,0,0,0,2,750,1,3,2,5,1,5,40,20,1,0,660,2,2,2,0,1,1,0,1,2,1.60586722438197,1,1
72,18,4,0,47.5,1,3,5,5,5,2,0,2,5,2,4,10,0.5,50,10,0,0,0,2,750,1,4,2,5,1,5,40,20,1,0,660,2,2,2,0,1,1,0,1,2,1.60586722438197,1,1
73,19,1,0,47.5,35,2,4,4,5,1,1,1,4,3,6,7,1,50,90,0,0,0,1,2250,1,1,1,4,2,50,60,120,2,0,334,2,0,1,1,1,1,0,1,2,0.976414516837518,3,1
74,19,2,0,47.5,35,2,4,4,5,1,1,1,4,3,6,7,0.5,5,40,0,0,0,2,2250,1,2,1,4,2,50,60,120,2,0,334,2,0,1,1,1,1,0,1,2,0.976414516837518,3,1
75,19,3,0,47.5,35,2,4,4,5,1,1,1,4,3,6,7,1,5,10,0,0,0,2,2250,1,3,1,4,2,50,60,120,2,0,334,2,0,1,1,1,1,0,1,2,0.976414516837518,3,1
76,19,4,0,47.5,35,2,4,4,5,1,1,1,4,3,6,7,1,10,40,0,0,0,2,2250,1,4,1,4,2,50,60,120,2,0,334,2,0,1,1,1,1,0,1,2,0.976414516837518,3,1
77,20,1,1,63,15.5,1,3,3,3,0,0,1,4,1,6,6,5,5,10,0,0,0,1,250,0,1,1,4,1,10,20,10,1,0,617,2,2,2,0,1,1,0,1,2,1.46296001363372,1,0
78,20,2,1,63,15.5,1,3,3,3,0,0,1,4,1,6,6,2.5,5,40,0,0,0,1,250,0,2,1,4,1,10,20,10,1,0,617,2,2,2,0,1,1,0,1,2,1.46296001363372,1,0
79,20,3,1,63,15.5,1,3,3,3,0,0,1,4,1,6,6,2.5,5,90,0,0,0,1,250,0,3,1,4,1,10,20,10,1,0,617,2,2,2,0,1,1,0,1,2,1.46296001363372,1,0
80,20,4,1,63,15.5,1,3,3,3,0,0,1,4,1,6,6,5,5,10,0,0,0,1,250,0,4,1,4,1,10,20,10,1,0,617,2,2,2,0,1,1,0,1,2,1.46296001363372,1,0
81,21,1,0,47.5,1,3,4,4,4,1,1,2,4,2,4,10,5,50,40,0,0,0,1,1250,1,1,2,4,2,40,30,60,2,1,755,1,1,2,0,1,1,0,1,2,0.903485617397606,4,1
82,21,2,0,47.5,1,3,4,4,4,1,1,2,4,2,4,10,2.5,5,40,0,0,0,2,1250,1,2,2,4,2,40,30,60,2,1,755,1,1,2,0,1,1,0,1,2,0.903485617397606,4,1
83,21,3,0,47.5,1,3,4,4,4,1,1,2,4,2,4,10,1,5,10,0,0,0,2,1250,1,3,2,4,2,40,30,60,2,1,755,1,1,2,0,1,1,0,1,2,0.903485617397606,4,1
84,21,4,0,47.5,1,3,4,4,4,1,1,2,4,2,4,10,0.5,50,10,0,0,0,1,1250,1,4,2,4,2,40,30,60,2,1,755,1,1,2,0,1,1,0,1,2,0.903485617397606,4,1
85,22,1,0,63,35,2,3,4,5,1,0,0,4,3,4,6,5,5,10,0,0,0,2,2250,0,1,0,4,1,70,40,20,1,1,495,1,2,0,1,1,1,0,1,2,1.04867108072323,3,0
86,22,2,0,63,35,2,3,4,5,1,0,0,4,3,4,6,2.5,5,10,0,0,0,2,2250,0,2,0,4,1,70,40,20,1,1,495,1,2,0,1,1,1,0,1,2,1.04867108072323,3,0
87,22,3,0,63,35,2,3,4,5,1,0,0,4,3,4,6,1,5,10,0,0,0,2,2250,0,3,0,4,1,70,40,20,1,1,495,1,2,0,1,1,1,0,1,2,1.04867108072323,3,0
88,22,4,0,63,35,2,3,4,5,1,0,0,4,3,4,6,2.5,50,10,0,0,0,1,2250,0,4,0,4,1,70,40,20,1,1,495,1,2,0,1,1,1,0,1,2,1.04867108072323,3,0
89,23,1,1,32.5,50,1,3,3,3,0,0,2,3,2,6,7,2.5,10,10,0,0,0,1,1250,1,1,2,3,1,50,40,20,1,0,245,1,1,1,0,1,1,0,0,1,0.765240094082926,2,1
90,23,2,1,32.5,50,1,3,3,3,0,0,2,3,2,6,7,2.5,5,10,0,0,0,1,1250,1,2,2,3,1,50,40,20,1,0,245,1,1,1,0,1,1,0,0,1,0.765240094082926,2,1
91,23,3,1,32.5,50,1,3,3,3,0,0,2,3,2,6,7,1,5,10,0,0,0,1,1250,1,3,2,3,1,50,40,20,1,0,245,1,1,1,0,1,1,0,0,1,0.765240094082926,2,1
92,23,4,1,32.5,50,1,3,3,3,0,0,2,3,2,6,7,2.5,50,10,0,0,0,1,1250,1,4,2,3,1,50,40,20,1,0,245,1,1,1,0,1,1,0,0,1,0.765240094082926,2,1
93,24,1,1,47.5,35,0,2,2,4,0,0,0,4,3,6,10,5,5,10,0,0,0,1,1250,1,1,0,4,1,10,10,5,1,0,500,2,2,2,0,1,1,0,1,2,0.995974464844166,3,1
94,24,2,1,47.5,35,0,2,2,4,0,0,0,4,3,6,10,0.5,5,40,0,0,0,2,1250,1,2,0,4,1,10,10,5,1,0,500,2,2,2,0,1,1,0,1,2,0.995974464844166,3,1
95,24,3,1,47.5,35,0,2,2,4,0,0,0,4,3,6,10,5,10,90,0,0,0,1,1250,1,3,0,4,1,10,10,5,1,0,500,2,2,2,0,1,1,0,1,2,0.995974464844166,3,1
96,24,4,1,47.5,35,0,2,2,4,0,0,0,4,3,6,10,1,10,40,0,0,0,2,1250,1,4,0,4,1,10,10,5,1,0,500,2,2,2,0,1,1,0,1,2,0.995974464844166,3,1
97,25,1,1,32.5,1,3,5,5,5,1,1,2,4,4,6,10,1,50,90,0,0,0,2,4500,1,1,2,4,1,60,70,35,1,1,418,2,2,2,1,1,1,0,1,2,0.937755313618221,4,1
98,25,2,1,32.5,1,3,5,5,5,1,1,2,4,4,6,10,0.5,5,40,0,0,0,2,4500,1,2,2,4,1,60,70,35,1,1,418,2,2,2,1,1,1,0,1,2,0.937755313618221,4,1
99,25,3,1,32.5,1,3,5,5,5,1,1,2,4,4,6,10,5,10,90,0,0,0,2,4500,1,3,2,4,1,60,70,35,1,1,418,2,2,2,1,1,1,0,1,2,0.937755313618221,4,1
100,25,4,1,32.5,1,3,5,5,5,1,1,2,4,4,6,10,1,10,40,0,0,0,2,4500,1,4,2,4,1,60,70,35,1,1,418,2,2,2,1,1,1,0,1,2,0.937755313618221,4,1
101,26,1,1,63,15.5,3,4,4,5,1,0,1,3,3,2,9,1,50,90,0,0,0,2,2750,1,1,1,3,1,70,70,140,2,1,608,1,2,1,1,1,1,0,0,1,1.36890665375476,3,1
102,26,2,1,63,15.5,3,4,4,5,1,0,1,3,3,2,9,0.5,10,10,0,0,0,2,2750,1,2,1,3,1,70,70,140,2,1,608,1,2,1,1,1,1,0,0,1,1.36890665375476,3,1
103,26,3,1,63,15.5,3,4,4,5,1,0,1,3,3,2,9,5,10,90,0,0,0,2,2750,1,3,1,3,1,70,70,140,2,1,608,1,2,1,1,1,1,0,0,1,1.36890665375476,3,1
104,26,4,1,63,15.5,3,4,4,5,1,0,1,3,3,2,9,0.5,50,10,0,0,0,1,2750,1,4,1,3,1,70,70,140,2,1,608,1,2,1,1,1,1,0,0,1,1.36890665375476,3,1
105,27,1,1,32.5,35,1,3,5,3,1,1,2,4,4,4,10,1,50,90,0,0,0,2,5000,1,1,2,4,2,20,30,60,2,1,694,1,2,2,1,1,1,0,1,2,0.771634719563422,5,1
106,27,2,1,32.5,35,1,3,5,3,1,1,2,4,4,4,10,2.5,5,10,0,0,0,2,5000,1,2,2,4,2,20,30,60,2,1,694,1,2,2,1,1,1,0,1,2,0.771634719563422,5,1
107,27,3,1,32.5,35,1,3,5,3,1,1,2,4,4,4,10,5,10,90,0,0,0,2,5000,1,3,2,4,2,20,30,60,2,1,694,1,2,2,1,1,1,0,1,2,0.771634719563422,5,1
108,27,4,1,32.5,35,1,3,5,3,1,1,2,4,4,4,10,0.5,50,10,0,0,0,1,5000,1,4,2,4,2,20,30,60,2,1,694,1,2,2,1,1,1,0,1,2,0.771634719563422,5,1
109,28,1,0,21.5,6.5,1,4,4,4,1,1,2,3,3,2,1,1,50,90,0,0,0,1,2250,0,1,2,3,2,50,5,10,2,0,234,1,2,2,1,1,1,0,0,1,1.2118969297961,3,0
110,28,2,0,21.5,6.5,1,4,4,4,1,1,2,3,3,2,1,2.5,5,40,0,0,0,2,2250,0,2,2,3,2,50,5,10,2,0,234,1,2,2,1,1,1,0,0,1,1.2118969297961,3,0
111,28,3,0,21.5,6.5,1,4,4,4,1,1,2,3,3,2,1,5,10,90,0,0,0,1,2250,0,3,2,3,2,50,5,10,2,0,234,1,2,2,1,1,1,0,0,1,1.2118969297961,3,0
112,28,4,0,21.5,6.5,1,4,4,4,1,1,2,3,3,2,1,2.5,50,10,0,0,0,2,2250,0,4,2,3,2,50,5,10,2,0,234,1,2,2,1,1,1,0,0,1,1.2118969297961,3,0
113,29,1,1,71,50,0,4,4,5,0,0,0,3,2,4,9,5,50,40,0,0,0,2,2750,1,1,0,3,1,30,10,20,2,0,307,1,1,2,1,1,1,0,0,1,0.953472806642344,3,1
114,29,2,1,71,50,0,4,4,5,0,0,0,3,2,4,9,0.5,5,40,0,0,0,2,2750,1,2,0,3,1,30,10,20,2,0,307,1,1,2,1,1,1,0,0,1,0.953472806642344,3,1
115,29,3,1,71,50,0,4,4,5,0,0,0,3,2,4,9,1,5,10,0,0,0,1,2750,1,3,0,3,1,30,10,20,2,0,307,1,1,2,1,1,1,0,0,1,0.953472806642344,3,1
116,29,4,1,71,50,0,4,4,5,0,0,0,3,2,4,9,5,5,10,0,0,0,1,2750,1,4,0,3,1,30,10,20,2,0,307,1,1,2,1,1,1,0,0,1,0.953472806642344,3,1
117,30,1,1,21.5,50,1,3,3,3,1,0,0,3,3,1,6,1,50,90,0,0,0,2,1250,1,1,0,3,2,5,50,100,2,1,319,1,1,1,0,1,1,0,0,1,1.11103913833292,2,1
118,30,2,1,21.5,50,1,3,3,3,1,0,0,3,3,1,6,0.5,5,40,0,0,0,2,1250,1,2,0,3,2,5,50,100,2,1,319,1,1,1,0,1,1,0,0,1,1.11103913833292,2,1
119,30,3,1,21.5,50,1,3,3,3,1,0,0,3,3,1,6,5,10,90,0,0,0,1,1250,1,3,0,3,2,5,50,100,2,1,319,1,1,1,0,1,1,0,0,1,1.11103913833292,2,1
120,30,4,1,21.5,50,1,3,3,3,1,0,0,3,3,1,6,2.5,50,10,0,0,0,2,1250,1,4,0,3,2,5,50,100,2,1,319,1,1,1,0,1,1,0,0,1,1.11103913833292,2,1
121,31,1,1,21.5,50,1,3,2,2,2,1,2,3,2,4,10,1,50,90,0,0,0,1,750,1,1,2,3,2,40,60,30,1,1,279,2,1,1,0,1,1,0,0,1,1.66200829436352,2,1
122,31,2,1,21.5,50,1,3,2,2,2,1,2,3,2,4,10,0.5,10,10,0,0,0,1,750,1,2,2,3,2,40,60,30,1,1,279,2,1,1,0,1,1,0,0,1,1.66200829436352,2,1
123,31,3,1,21.5,50,1,3,2,2,2,1,2,3,2,4,10,2.5,5,90,0,0,0,1,750,1,3,2,3,2,40,60,30,1,1,279,2,1,1,0,1,1,0,0,1,1.66200829436352,2,1
124,31,4,1,21.5,50,1,3,2,2,2,1,2,3,2,4,10,1,10,40,0,0,0,2,750,1,4,2,3,2,40,60,30,1,1,279,2,1,1,0,1,1,0,0,1,1.66200829436352,2,1
125,32,1,1,47.5,15.5,0,1,1,1,0,0,0,1,2,6,10,5,50,40,0,0,0,1,5000,0,1,0,1,1,60,70,35,1,0,317,2,2,2,1,1,1,0,0,0,0.210528318225789,1,0
126,32,2,1,47.5,15.5,0,1,1,1,0,0,0,1,2,6,10,2.5,5,40,0,0,0,1,5000,0,2,0,1,1,60,70,35,1,0,317,2,2,2,1,1,1,0,0,0,0.210528318225789,1,0
