"","X","ID","Timing","Order","Q1Gender","Q2Age","Q3Distance","Q4Trips","Q5Knowledge","Q6Bid","Q7Bid","Q6ResearchResponse","Q6ResearchCertainty","Q7TreatmentResponse","Q7TreatmentCertainty","Q7Bid2Upper","Q7Bid2Lower","Q7TreatmentUpperResponse","Q7TreatmentLowerResponse","Q8DominatedTest","Q9Block","Q9Performance","Q9Emission","Q9Price","Q10Block","Q10Performance","Q10Emission","Q10Price","Q11Block","Q11Performance","Q11Emission","Q11Price","Q12Block","Q12Performance","Q12Emission","Q12Price","Q9Choice","Q10Choice","Q11Choice","Q12Choice","Q12CECertainty","Q13CurrentThreatToSelf","Q14FutureThreatToSelf","Q15ThreatToEnvironment","Q16BP","Q17_Firms","Q17_Cons","Q17_Gov","Q17_LA","Q17_Other","Q18Charity","Q19Knowledge","Q20Consequentiality","Q21Experts","Q22Education","Q23Employment","Q24RonaImpact","Q24AIncome","Q25Understanding","Q7Bid2","Q7Response2","IncomeDummy","Q1WTP","Q2WTP","Q1WTPLower","Q2WTPLower","Q1WTPUpper","Q2WTPUpper","Q1LV","Q2LV","LVQuantilesQ1","LVQuantilesQ2"
"11",11,11,484,0,1,47.5,50,0,4,5,30,1,2,1,2,9,NA,1,NA,1,2,0.05,0.1,5,0,0.1,0.1,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,0,0,1,0,2,3,4,5,2,1,1,1,1,0,2,4,2,5,3,6,0,2250,10,60,1,1,50.4696118870504,82.913268374282,-2450.98637329563,-60.7428950623629,1329.188814558,3683.13446095174,3.4529988347513,3.21931953606281,5,5
"12",12,12,416,0,0,32.5,15.5,3,2,30,20,1,1,1,2,8,NA,1,NA,0,2,0.05,0.1,5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,3,0.05,0.1,5,0,1,1,0,1,2,3,3,0,1,1,1,1,0,0,3,2,3,3,6,0,1750,10,40,1,0,34.1769780299862,62.2540163985874,-1409.18065132723,-20.0719835672479,3205.7855422367,4730.91330535562,2.63245093180494,1.96782693124739,4,3
"13",13,13,459,1,0,47.5,6.5,3,2,60,40,0,2,0,2,NA,3,NA,0,0,2,0.05,0.1,5,2,0.05,0.4,0.5,1,0.05,0.1,1,1,0.5,0.1,2.5,0,1,0,0,2,3,3,4,1,1,0,1,0,0,1,3,0,3,4,6,1,1750,10,20,0,0,38.2218738459891,66.5785639933522,-395.386208180526,-40.659079693094,5920.56053668146,4940.80439285107,1.66833919877224,1.19376524727165,3,2
"14",14,14,164,1,0,21.5,15.5,1,3,30,40,1,1,0,0,NA,3,NA,0,1,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,0,2,5,3,2,0,1,0,1,1,0,2,2,2,5,3,4,1,750,10,20,0,0,41.3519654556491,72.2191632785654,-2504.99736422438,-77.0231552359901,1760.68095756009,4354.72570321946,2.9710371083032,1.28181449608327,4,2
"15",15,15,156,1,1,47.5,50,2,3,5,40,1,2,1,2,10,NA,1,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,1,0.05,0.1,1,2,0.1,0.4,1,0,0,0,1,2,3,3,3,1,0,1,0,0,0,1,2,2,2,4,6,1,2250,5,80,1,1,40.8799049096302,71.506786159681,-2439.23292945305,-45.4011462743317,4253.76874039087,4668.06685859279,2.13962209904363,1.98014928459092,3,3
"16",16,16,204,1,1,47.5,15.5,2,4,50,40,0,1,0,2,NA,3,NA,1,0,1,0.5,0.9,1,2,0.05,0.4,0.5,3,0.05,0.9,0.5,1,0.5,0.1,2.5,0,0,0,0,2,4,4,3,1,0,0,1,0,0,0,4,2,4,4,6,0,5000,9,20,1,1,46.3184789514068,76.4580384773591,-1544.98707248011,-78.5620364649428,5287.26773837347,4672.62625923222,1.69990188630181,1.30321547541691,3,2
"17",17,17,667,1,0,32.5,35,2,3,10,30,1,1,0,2,NA,1,NA,0,1,3,0.1,0.1,2.5,3,0.05,0.1,2.5,2,0.1,0.9,5,3,0.05,0.1,5,1,1,1,1,2,5,5,4,0,1,0,1,1,0,0,3,0,5,2,6,1,2250,10,15,0,1,39.2720953946645,70.1201023787684,-2362.06660885087,-53.6855719774779,4333.62665122633,4896.49222586432,3.58982997599787,1.13744797816543,5,2
"18",18,18,660,1,0,47.5,1,3,1,5,40,0,2,0,2,NA,3,NA,0,1,1,0.5,0.9,1,1,0.05,0.4,2.5,1,0.05,0.1,1,0,0.5,0.1,0.5,1,1,1,1,2,5,5,5,2,1,1,1,1,0,0,2,2,5,2,4,1,750,10,20,0,0,40.4015982831415,71.8458980846945,-1290.29987718499,-55.2664956599932,4989.78762068609,4899.09369942243,2.03982128287048,1.79945568936473,3,3
"19",19,19,334,1,0,47.5,35,2,3,50,60,1,0,1,1,2,NA,0,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,1,0.05,0.1,1,2,0.1,0.4,1,0,1,1,1,2,4,4,5,1,1,1,1,1,0,1,3,1,4,3,6,1,2250,7,120,0,1,44.3825996877727,77.427955947781,-3595.13665686445,-288.695014281918,2296.28162915065,3935.11438495057,3.32623566063677,3.08777377927761,5,5
"20",20,20,617,0,1,63,15.5,1,1,10,20,0,2,0,2,NA,0,NA,0,0,2,0.05,0.1,5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,3,0.05,0.1,5,0,0,0,0,2,3,3,3,0,0,0,1,0,0,0,1,1,4,1,6,1,2250,6,10,0,1,40.3894826239818,69.6721315611622,-1185.14567430867,-91.1077386133588,4258.26846533996,4659.58614862447,1.23776369953215,0.932261976049593,2,2
"21",21,21,755,1,0,47.5,1,3,4,40,30,1,1,1,2,9,NA,1,NA,1,0,0.5,0.4,5,1,0.05,0.4,2.5,1,0.05,0.1,1,0,0.5,0.1,0.5,0,1,1,0,1,4,4,4,1,1,1,1,1,1,1,4,2,4,2,4,1,1750,10,60,1,0,41.9817953695499,76.3008815133816,-2202.05850791994,-220.286379845503,3394.96160739241,3808.37760671646,3.25671637940003,2.79903573721731,5,4
"22",22,22,495,0,0,63,35,2,3,70,40,0,2,0,0,NA,3,NA,1,1,2,0.05,0.1,5,3,0.05,0.1,2.5,1,0.05,0.1,1,1,0.5,0.1,2.5,1,1,1,0,1,3,4,5,1,1,1,1,1,0,0,3,0,4,3,4,1,2250,6,20,1,1,37.150603269503,67.1447305973472,-886.998967532854,-13.8667721796895,7042.92505741743,5640.92820239058,1.96130080296598,1.3489038672724,3,2
"23",23,23,245,1,1,32.5,50,1,2,50,40,0,1,0,1,NA,3,NA,0,0,3,0.1,0.1,2.5,3,0.05,0.1,2.5,1,0.05,0.1,1,1,0.5,0.1,2.5,0,0,0,0,1,3,3,3,0,0,0,1,0,0,0,2,2,3,2,6,1,1250,7,20,0,0,37.7780925583171,64.8331885403817,-699.698028919961,-23.6925912736578,3940.90577901993,4616.5736848035,1.11751062667603,0.725089454680173,2,1
"24",24,24,500,1,1,47.5,35,0,3,10,10,0,2,0,2,NA,9,NA,0,0,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,2,0.1,0.4,1,0,1,0,1,2,2,2,4,0,1,0,0,0,0,0,3,0,4,3,6,0,1250,10,5,0,0,43.4397546252423,72.5259767705093,-3181.59532767579,-143.094014155517,3992.82351514136,4846.46066804063,0.905502434342191,0.550681011500731,1,1
"25",25,25,418,1,1,32.5,1,3,4,60,70,0,2,0,2,NA,6,NA,1,1,1,0.5,0.9,1,2,0.05,0.4,0.5,2,0.1,0.9,5,2,0.1,0.4,1,1,1,1,1,2,5,5,5,1,1,1,1,0,0,1,4,2,4,4,6,0,4500,10,35,1,1,45.5955236923086,80.4962431153655,-2582.74080992589,-5.02585497068968,2780.41748945756,4051.40126122359,2.06994449875336,1.74720670766113,3,3
"26",26,26,608,1,1,63,15.5,3,3,70,70,0,2,1,1,3,NA,1,NA,0,1,0.5,0.9,1,0,0.1,0.1,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,0,1,4,4,5,1,1,1,1,1,0,0,3,1,3,3,2,0,2750,9,140,1,1,37.7672786143462,69.1973696038191,-3637.64229316146,-57.7041278634007,5222.38929517137,5036.51719990333,1.97000429124849,2.88109086964593,3,5
"27",27,27,694,1,1,32.5,35,1,5,20,30,1,2,1,2,9,NA,1,NA,0,1,0.5,0.9,1,3,0.05,0.1,2.5,2,0.1,0.9,5,0,0.5,0.1,0.5,1,1,1,0,1,3,5,3,1,1,0,0,0,0,1,3,2,4,4,4,1,5000,10,60,1,1,41.0013575671938,72.6814906317023,-1401.01694914396,-11.268014640742,4129.75469424285,4152.78997051291,2.79426955658011,2.47373444224198,4,4
"28",28,28,234,0,0,21.5,50,1,3,50,5,1,2,1,2,0,NA,0,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,0,1,0,1,1,4,4,4,1,0,0,0,1,0,1,2,2,3,3,2,1,1750,1,10,0,0,45.8878685648004,78.6109913943072,-3229.37398184602,-174.936729698495,4756.49392451555,4819.19042792305,3.01669362271105,2.46310513507188,4,4
"29",29,29,307,1,1,71,50,0,3,30,10,0,1,1,2,6,NA,0,NA,1,0,0.5,0.4,5,2,0.05,0.4,0.5,1,0.05,0.1,1,3,0.05,0.1,5,1,1,0,0,1,4,4,5,0,0,1,1,1,0,0,3,0,3,2,4,0,2750,9,20,0,1,38.2413031694964,68.4425696711275,-3025.739650757,-27.5015486628492,5560.66212339081,5635.3445038136,1.44114189337288,2.53743520896211,2,4
"30",30,30,319,1,1,21.5,50,1,2,5,50,1,1,1,1,1,NA,1,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,0,1,1,3,3,3,1,0,1,0,0,0,0,3,0,3,3,1,0,1250,6,100,1,0,37.2068884418072,69.612033513912,-2398.50078294526,-67.1093321964499,3920.77801254535,4490.64895413772,2.07424962805505,1.79381264032861,3,3
"31",31,31,279,1,1,21.5,50,1,2,40,60,1,1,0,1,NA,5,NA,1,0,1,0.5,0.9,1,0,0.1,0.1,0.5,0,0.05,0.9,2.5,2,0.1,0.4,1,0,0,0,1,2,3,2,2,2,0,0,1,0,0,1,2,2,3,2,4,1,750,10,30,1,0,42.5197073287336,74.0265518733378,-4005.82158701576,-553.058863530536,3170.25798159984,4788.27527776876,2.40938499286239,0.643092726193938,4,1
"32",32,32,317,0,1,47.5,15.5,0,1,60,70,0,2,0,2,NA,6,NA,0,0,0,0.5,0.4,5,1,0.05,0.4,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,0,0,0,0,2,1,1,1,0,1,1,1,1,0,0,1,0,1,2,6,0,5000,10,35,0,1,42.4097366108284,74.9161726338614,-3482.06301168184,-61.2771276081616,2819.85011611503,4476.03680412797,-0.806192819761589,-0.711037661003062,1,1
"33",33,33,758,1,0,32.5,15.5,2,4,60,70,1,2,1,2,3,NA,0,NA,0,2,0.05,0.1,5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,1,1,1,1,1,4,5,5,1,1,1,1,1,0,1,3,2,5,4,6,1,2750,8,140,0,1,46.0838929585769,79.8181397934029,-1045.75799104636,-65.00666960005,3033.09942944059,4001.91071028064,3.99962536303794,3.76891614641282,5,5
"34",34,34,360,0,0,32.5,15.5,0,2,20,60,0,0,0,0,NA,5,NA,0,0,0,0.5,0.4,5,1,0.05,0.4,2.5,1,0.05,0.1,1,0,0.5,0.1,0.5,0,0,1,0,2,3,4,4,0,1,1,1,1,0,0,2,1,3,2,4,1,750,9,30,0,0,40.853281018043,72.4752951600336,-645.935927634654,-9.14699129008942,5871.11862300988,5055.79132695087,1.43561322430078,1.22000532793361,2,2
"35",35,35,355,1,1,32.5,50,2,5,10,50,1,2,1,1,1,NA,1,NA,0,0,0.5,0.4,5,2,0.05,0.4,0.5,1,0.05,0.1,1,1,0.5,0.1,2.5,1,0,1,0,2,4,4,4,1,1,1,1,1,0,1,4,2,4,4,4,1,1250,10,100,1,0,47.6562130223785,82.8143151387908,-1006.36653841988,-44.790087587907,4292.1967325428,4306.86734081122,2.95524838715871,2.67461136537078,4,4
"36",36,36,476,0,0,21.5,15.5,3,3,5,5,0,0,0,0,NA,2,NA,1,1,1,0.5,0.9,1,2,0.05,0.4,0.5,3,0.05,0.9,0.5,0,0.5,0.1,0.5,1,1,1,0,1,3,3,3,1,0,0,1,0,0,0,3,1,3,3,6,0,1250,5,2,1,0,32.7678284549605,62.1266152068881,-3808.08705537034,-179.653266177363,2291.20576302577,3700.48228714655,1.12170604393856,0.666358968795624,2,1
"37",37,37,473,1,0,63,50,2,1,40,5,0,2,1,2,0,NA,1,NA,1,1,0.5,0.9,1,1,0.05,0.4,2.5,3,0.05,0.9,0.5,2,0.1,0.4,1,0,1,1,0,1,3,4,4,0,1,1,0,0,0,0,1,1,3,2,4,0,750,6,10,1,0,38.5989411157922,70.3860340264785,-1195.62060916383,-64.7461579750027,3457.33583505013,4721.73909560012,1.62102679534544,2.13219205835902,3,3
"38",38,38,244,1,0,21.5,50,0,1,10,5,0,0,0,1,NA,2,NA,0,1,1,0.5,0.9,1,2,0.05,0.4,0.5,1,0.05,0.1,1,2,0.1,0.4,1,1,1,1,1,0,4,4,4,0,0,0,0,1,0,2,4,1,4,4,3,2,2250,7,2,0,1,46.4014356587065,80.8899157704238,-3011.66122773307,-68.4655235632233,3687.86114254739,4295.77695856374,1.47796341593967,0.995403895588254,2,2
"39",39,39,705,1,1,21.5,6.5,3,3,50,50,1,1,1,2,1,NA,0,NA,0,3,0.1,0.1,2.5,2,0.05,0.4,0.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,1,1,1,3,5,4,2,1,1,1,0,1,0,4,2,4,2,3,0,250,8,100,0,0,45.8781180267904,79.0064440327449,-3898.46182629662,-104.611027280936,2303.84971960812,4256.46900472302,3.16592969081169,2.76678966773831,4,4
"40",40,40,542,0,1,63,50,1,2,50,30,0,2,1,2,9,NA,1,NA,0,1,0.5,0.9,1,0,0.1,0.1,0.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,1,0,2,1,2,4,1,0,1,1,0,0,0,2,0,2,4,6,0,5000,9,60,1,1,47.7872477057529,80.3162840753475,-1497.63409269673,-30.2772099931352,3464.70623358711,4088.11270003199,0.429336668145399,1.70951281238131,1,3
"41",41,41,238,0,0,63,50,3,3,50,40,1,2,1,1,10,NA,1,NA,1,2,0.05,0.1,5,1,0.05,0.4,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,1,1,1,4,4,5,1,1,1,1,1,0,0,3,1,3,4,6,0,5000,10,80,1,1,41.8352732687273,73.1085563984039,-3478.56870714019,-234.409806520685,3474.72927637926,4659.53969957223,3.08565978364361,2.74605505017535,4,4
"42",42,42,373,0,0,63,35,3,4,50,30,1,2,1,2,9,NA,1,NA,1,3,0.1,0.1,2.5,3,0.05,0.1,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,1,1,1,1,1,4,4,4,1,0,0,1,1,0,1,3,2,4,1,4,1,750,9,60,1,0,46.7037292197114,78.7256067245511,-2456.42581911783,-31.443735110301,2690.6527311887,4545.75747344508,3.31759454508653,2.77447662085,5,4
"43",43,43,389,1,1,47.5,50,1,5,30,40,1,2,1,2,10,NA,1,NA,0,2,0.05,0.1,5,2,0.05,0.4,0.5,0,0.05,0.9,2.5,3,0.05,0.1,5,0,0,0,0,2,5,5,5,2,0,0,0,0,1,1,5,2,5,1,1,1,1250,10,80,1,0,49.2944164457093,81.627672664952,-3564.42228311872,-87.8880153126774,2061.06389997405,4260.58052530687,4.64848355600672,4.3506076860584,5,5
"44",44,44,330,0,0,32.5,50,1,3,40,60,0,1,0,1,NA,5,NA,1,0,2,0.05,0.1,5,1,0.05,0.4,2.5,1,0.05,0.1,1,2,0.1,0.4,1,1,1,1,1,1,3,4,4,0,1,1,1,1,0,0,3,1,3,4,6,0,2750,9,30,1,1,37.6614429007072,69.6859665592596,-2874.90298529505,-5.05980030072605,5528.1730227329,4435.73501193904,1.38633850812082,1.14180649221619,2,2
"45",45,45,255,1,1,47.5,1,1,5,5,70,1,2,1,2,3,NA,1,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,1,0.05,0.1,1,0,0.5,0.1,0.5,1,1,1,1,2,5,5,5,2,1,1,1,1,0,1,5,2,5,4,6,1,2250,10,140,1,1,44.615266970639,79.7640427974928,-3277.47565386236,-43.0381702035894,3444.92906741419,4266.45459720342,4.65482904249045,4.36302107383461,5,5
"46",46,46,878,1,1,32.5,15.5,2,5,20,30,0,1,0,2,NA,1,NA,0,1,1,0.5,0.9,1,3,0.05,0.1,2.5,0,0.05,0.9,2.5,2,0.1,0.4,1,1,1,1,1,2,5,5,5,2,1,1,1,1,0,0,5,2,5,3,1,1,250,10,15,0,0,41.1676674861181,73.6166248610844,-2552.55523000299,-204.300466962683,2924.93555586098,4116.20402712601,1.82160977290343,1.34855893996274,3,2
"47",47,47,677,0,0,32.5,35,1,3,50,20,0,2,1,1,8,NA,0,NA,0,2,0.05,0.1,5,2,0.05,0.4,0.5,1,0.05,0.1,1,2,0.1,0.4,1,0,0,1,1,1,2,3,4,0,1,1,1,0,0,0,4,1,4,1,4,0,2250,10,40,0,1,42.983441573021,74.0589756219041,-654.124577031124,-80.1420365140039,5113.52589782956,5300.17365691484,1.25177031984916,1.90017613688442,2,3
"48",48,48,738,1,1,32.5,50,0,3,50,5,1,1,1,2,0,NA,1,NA,0,0,0.5,0.4,5,2,0.05,0.4,0.5,2,0.1,0.9,5,2,0.1,0.4,1,0,1,0,1,1,4,5,5,1,1,1,1,1,1,1,2,1,4,3,6,1,1250,9,10,1,0,42.83111544899,76.7399839185818,-2993.77453122232,-24.1644110688962,5459.27867275773,5146.32573634834,3.70197761261686,3.47831576362397,5,5
"49",49,49,565,0,0,32.5,1,0,1,50,50,1,0,1,0,1,NA,0,NA,0,2,0.05,0.1,5,1,0.05,0.4,2.5,2,0.1,0.9,5,0,0.5,0.1,0.5,0,1,1,1,0,3,4,4,0,1,1,1,1,0,1,3,1,3,2,4,0,2750,10,100,0,1,40.5876481048497,73.1379542945632,-1365.76051158312,-89.047962255987,5171.58669683345,4627.07273196626,2.82815884001333,2.29136209085406,4,4
"50",50,50,396,0,1,47.5,15.5,3,4,70,60,1,2,1,2,2,NA,1,NA,0,3,0.1,0.1,2.5,2,0.05,0.4,0.5,2,0.1,0.9,5,2,0.1,0.4,1,1,1,1,1,2,4,4,5,2,1,1,1,1,0,1,4,2,5,3,6,0,4500,10,120,1,1,48.2880747622441,80.469010308201,-3640.62845837868,-441.032809124159,3947.63617859835,4061.76639209395,3.70666077738484,3.410219973616,5,5
"51",51,51,218,0,0,32.5,6.5,1,3,10,5,1,2,1,2,0,NA,1,NA,0,1,0.5,0.9,1,1,0.05,0.4,2.5,2,0.1,0.9,5,1,0.5,0.1,2.5,0,0,0,1,2,5,5,5,0,0,0,1,0,0,1,2,0,5,1,6,0,1750,10,10,1,0,40.5269099051018,73.5456850386908,-1671.07976538627,-70.1621303943036,4795.57665124861,4539.47008315853,4.25937303994587,4.04547524543605,5,5
"52",52,52,425,0,1,32.5,15.5,2,1,30,50,0,0,0,0,NA,4,NA,1,1,2,0.05,0.1,5,2,0.05,0.4,0.5,2,0.1,0.9,5,0,0.5,0.1,0.5,0,1,0,1,0,3,4,3,1,0,0,1,1,0,2,2,2,3,3,6,1,1750,6,25,1,0,45.2101911680397,77.4734917911954,-4645.2793906932,-790.640147910593,4615.95842834379,4294.31708233037,1.5609949680731,1.21591793282895,2,2
"53",53,53,176,1,0,21.5,50,1,2,20,60,0,0,1,1,2,NA,1,NA,0,0,0.5,0.4,5,1,0.05,0.4,2.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,0,0,1,1,1,4,4,3,0,0,1,0,0,0,0,2,1,4,2,3,1,1750,8,120,1,0,48.5198132391339,81.6884566624063,-4684.19957394034,-274.192551683397,4571.25900827211,4438.47911173042,1.4879300565545,2.33861513193402,2,4
"54",54,54,201,0,1,32.5,6.5,3,4,20,5,1,2,1,2,0,NA,1,NA,0,1,0.5,0.9,1,2,0.05,0.4,0.5,0,0.05,0.9,2.5,1,0.5,0.1,2.5,0,0,0,1,1,3,3,2,1,1,0,0,0,0,1,4,1,3,3,6,0,1750,8,10,1,0,38.5514190805302,69.5495585037409,-2155.27104089959,-52.9674794574172,4965.79375786637,4886.07244391207,2.44270862019301,1.74767841848594,4,3
"55",55,55,272,0,1,32.5,35,1,1,70,30,0,2,0,2,NA,1,NA,0,0,2,0.05,0.1,5,1,0.05,0.4,2.5,1,0.05,0.1,1,1,0.5,0.1,2.5,0,0,0,0,2,1,2,4,0,0,0,0,1,0,0,1,0,2,1,1,0,250,10,15,0,0,39.7244670482231,72.5468249207347,-1041.49648618675,-86.3884315625252,2765.90052440329,4315.74806141813,0.310586451697967,0.178335160554361,1,1
"56",56,56,346,1,0,21.5,35,1,5,60,60,1,1,1,1,2,NA,0,NA,1,1,0.5,0.9,1,3,0.05,0.1,2.5,2,0.1,0.9,5,2,0.1,0.4,1,0,0,0,0,2,5,2,4,2,1,0,0,0,0,1,4,2,4,2,4,0,250,10,120,0,0,50.9058530783452,84.5635468832623,-2681.16208160605,-81.5246531264887,2155.74906488168,4302.19368482767,3.12192986764842,2.57018134140641,4,4
"57",57,57,296,1,0,47.5,6.5,3,2,30,70,1,1,1,1,3,NA,0,NA,0,0,0.5,0.4,5,2,0.05,0.4,0.5,1,0.05,0.1,1,0,0.5,0.1,0.5,1,1,0,0,1,3,3,4,1,1,1,0,0,0,1,2,1,3,1,6,1,750,10,140,0,0,37.3049613493311,70.1338193579445,-2043.718004028,-45.3618535902122,3707.61867770911,4273.90309206669,2.80879176543777,2.61487919999698,4,4
"58",58,58,255,1,0,21.5,35,1,2,5,5,1,1,1,1,0,NA,1,NA,0,2,0.05,0.1,5,3,0.05,0.1,2.5,2,0.1,0.9,5,3,0.05,0.1,5,1,1,1,1,2,3,3,4,1,0,0,1,1,0,0,2,1,4,2,3,0,750,10,10,1,0,39.869829058466,72.0826566977699,-3032.01141938279,-43.3553556188884,3831.22043633242,4165.61145750686,2.47828958016479,1.99025587406814,4,3
